section,check,value,details
source,Файл ВРП,ВРП.xlsx,4054 строк источника; 9 лет; 36486 наблюдений в длинном формате; 32265 непустых значений.
source,Файл занятости,Число занятых.xlsx,2134 строк источника; 8 лет; 17072 наблюдений в длинном формате; 16678 непустых значений.
territories,Территории в ВРП,98,
territories,Территории в занятости,97,
territories,Совпадающие территории,97,"Сопоставление после удаления отступов, схлопывания пробелов и приведения к нижнему регистру."
territories,Только в ВРП,1,Сухопутные территории Арктической зоны Российской Федерации
territories,Только в занятости,0,
territories,Непересекающийся региональный набор,85,Рекомендован для моделирования: 85 территорий без двойного счета по Архангельской и Тюменской областям/АО.
activities,Виды экономической деятельности в ВРП,21,
activities,Виды экономической деятельности в занятости,22,
activities,Совпадающие виды деятельности,21,Полное совпадение названий после очистки пробелов.
activities,Только в ВРП,0,
activities,Только в занятости,1,Деятельность экстерриториальных организаций и органов
facts,Итоговый длинный массив,53558,48943 непустых значений; 4615 пропусков.
panel,Строки joined-panel,16296,97 общих территорий × 21 общий вид деятельности × 8 общих лет (2017–2024).
panel,Рекомендованные полные строки: текущий ВРП + занятость,13553,"Фильтр: is_nonoverlap_model_region=TRUE, is_model_activity=TRUE, vrp_current и employment не пустые."
panel,Рекомендованные полные строки: ВРП в постоянных ценах + занятость,10200,"Фильтр: is_nonoverlap_model_region=TRUE, is_model_activity=TRUE, vrp_constant_2016 и employment не пустые; фактически 2017–2022."
qa,Дубли ключей наблюдений,0,Проверены ключи metric_variant × territory_id × activity_id × year.
